HIP File,HDA,Depth
D:/__projects/BYVFX/BunnyEater\03_Production\Shots\001\010\Scenefiles\fx\bunnyFX\001-010_bunnyFX_v0001.hip,labs::quickmaterial::2.2,3
D:/__projects/BYVFX/BunnyEater\03_Production\Shots\001\010\Scenefiles\fx\bunnyFX\001-010_bunnyFX_v0001.hip,principledshader::2.0,5
D:/__projects/BYVFX/BunnyEater\03_Production\Shots\001\010\Scenefiles\fx\bunnyFX\001-010_bunnyFX_v0001.hip,matcapshader,5
D:/__projects/BYVFX/BunnyEater\03_Production\Shots\001\010\Scenefiles\fx\bunnyFX\001-010_bunnyFX_v0001.hip,labs::labs_shader::1.0,5
D:/__projects/BYVFX/BunnyEater\03_Production\Shots\001\010\Scenefiles\fx\bunnyFX\001-010_bunnyFX_v0001.hip,principledshader::2.0,6
D:/__projects/BYVFX/BunnyEater\03_Production\Shots\001\010\Scenefiles\fx\bunnyFX\001-010_bunnyFX_v0001.hip,uvcoords::2.0,6
D:/__projects/BYVFX/BunnyEater\03_Production\Shots\001\010\Scenefiles\fx\bunnyFX\001-010_bunnyFX_v0001.hip,vectofloat,7
D:/__projects/BYVFX/BunnyEater\03_Production\Shots\001\010\Scenefiles\fx\bunnyFX\001-010_bunnyFX_v0001.hip,attribwrangle,4
D:/__projects/BYVFX/BunnyEater\03_Production\Shots\001\010\Scenefiles\fx\bunnyFX\001-010_bunnyFX_v0001.hip,attribwrangle,4
D:/__projects/BYVFX/BunnyEater\03_Production\Shots\001\010\Scenefiles\fx\bunnyFX\001-010_bunnyFX_v0001.hip,attribdelete,4
D:/__projects/BYVFX/BunnyEater\03_Production\Shots\001\010\Scenefiles\fx\bunnyFX\001-010_bunnyFX_v0001.hip,labs::quickmaterial::2.2,3
D:/__projects/BYVFX/BunnyEater\03_Production\Shots\001\010\Scenefiles\fx\bunnyFX\001-010_bunnyFX_v0001.hip,principledshader::2.0,5
D:/__projects/BYVFX/BunnyEater\03_Production\Shots\001\010\Scenefiles\fx\bunnyFX\001-010_bunnyFX_v0001.hip,matcapshader,5
D:/__projects/BYVFX/BunnyEater\03_Production\Shots\001\010\Scenefiles\fx\bunnyFX\001-010_bunnyFX_v0001.hip,labs::labs_shader::1.0,5
D:/__projects/BYVFX/BunnyEater\03_Production\Shots\001\010\Scenefiles\fx\bunnyFX\001-010_bunnyFX_v0001.hip,principledshader::2.0,6
D:/__projects/BYVFX/BunnyEater\03_Production\Shots\001\010\Scenefiles\fx\bunnyFX\001-010_bunnyFX_v0001.hip,uvcoords::2.0,6
D:/__projects/BYVFX/BunnyEater\03_Production\Shots\001\010\Scenefiles\fx\bunnyFX\001-010_bunnyFX_v0001.hip,vectofloat,7
